Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
7,1975,50,90,64,66,57,78,67.5,0.27,0.12
8,1975,51,84,60,62,54.9,71.5,63.2,4.59,1.63
9,1975,47,86,59,61,52.6,73.3,63,0,0
10,1975,35,81,52,49,45.8,57,51.4,7.75,1.24
11,1975,22,66,51,33,39.3,50.5,44.9,5.07,1.04
12,1975,27,57,52,35,36.5,46.5,41.5,7.66,1.75
1,1976,27,57,49,37,37.2,46.3,41.7,5.55,1.13
2,1976,24,57,42,38,35,46.8,40.9,4.74,0.78
3,1976,24,60,44,37,34.3,48.2,41.2,2.71,0.51
4,1976,30,85,57,43,41,58,49.5,1.67,0.42
5,1976,42,81,55,55,47.2,65.5,56.4,1.61,0.4
6,1976,42,86,58,59,50.6,69.4,60,0.63,0.33
7,1976,51,86,62,66,55.9,75.9,65.9,1.17,0.57
8,1976,52,82,60,60,57.1,71.1,64.1,2.71,0.95
9,1976,50,86,60,62,54.3,70.8,62.5,1.25,0.63
10,1976,38,74,58,53,47.5,62.3,54.9,2.06,0.79
11,1976,29,65,52,44,41.4,54.1,47.8,0.74,0.2
12,1976,27,61,50,39,39.6,49.8,44.7,1.86,0.47
1,1977,24,57,51,35,34.1,44.7,39.4,1.77,0.5
2,1977,32,67,49,45,41.5,55.9,48.7,1.58,0.56
3,1977,35,59,46,45,39.9,51.5,45.7,3.8,0.68
4,1977,37,78,53,52,43.9,63.2,53.6,0.55,0.1
5,1977,41,72,55,53,47,61.9,54.5,3.7,0.97
6,1977,44,87,60,63,53.4,72.6,63,0.54,0.5
7,1977,52,87,63,67,55,75.2,65.1,0.42,0.23
8,1977,51,96,64,61,57.2,79.7,68.5,3.59,1.49
9,1977,43,77,60,58,51,66.8,58.9,2.55,0.63
10,1977,41,69,51,50,45.4,59,52.2,2.6,0.67
11,1977,21,60,48,35,38.6,49.1,43.9,5.27,1.48
12,1977,30,56,49,36,37.6,46.7,42.1,6.47,1.55
1,1978,29,55,49,42,40,48.7,44.4,4.3,1.01
2,1978,31,62,49,45,40.3,51.7,46,3.59,0.74
3,1978,30,64,49,45,41.2,56,48.6,2.43,0.7
4,1978,33,70,52,50,42.5,57.3,49.9,4.19,0.68
5,1978,39,82,53,53,45.8,63.1,54.5,1.79,0.41
6,1978,47,92,61,64,53.9,74.7,64.3,0.75,0.31
7,1978,52,95,64,62,55.4,76.2,65.8,1.4,0.73
8,1978,52,95,64,65,56.5,74.4,65.4,1.19,0.3
9,1978,43,73,59,58,52.3,65.3,58.8,5.95,1.65
10,1978,33,72,56,52,46.5,62.1,54.3,0.98,0.78
11,1978,24,59,51,35,35.3,47.1,41.2,6.05,1.05
12,1978,13,53,44,23,32.2,42.7,37.5,1.37,0.51
1,1979,20,53,43,30,32.2,43.4,37.8,2.25,0.71
2,1979,25,58,45,37,36.8,47.8,42.3,5.32,0.72
3,1979,34,70,51,46,41.1,57.5,49.3,1.55,0.92
4,1979,36,76,53,47,42.9,58.7,50.8,0.81,0.2
5,1979,43,81,53,57,47.6,66.8,57.2,0.88,0.33
6,1979,45,88,57,60,51.7,73.3,62.5,0.46,0.14
7,1979,47,98,64,59,56.1,78.7,67.4,0.73,0.58
8,1979,51,82,60,62,55,72.9,63.9,1.02,0.26
9,1979,48,93,60,64,54.3,70.9,62.6,2.07,0.71
10,1979,41,77,54,52,47.6,60.7,54.2,3.38,0.64
11,1979,28,62,49,40,38,49.8,43.9,1.94,0.6
12,1979,30,56,50,42,39.3,48.9,44.1,11.85,1.67
1,1980,15,52,44,29,29.7,39.9,34.8,4.09,0.69
2,1980,27,59,51,37,38,49.5,43.8,5.04,0.8
